G,AG,dist,mass,radius,lum,MG,teff,logg,met
15,1.567,17661.039,4.265,25.989,2.973,-2.802,6235.955,2.223,-0.324
15,1.338,19083.4417,1.055,56.724,3.064,-2.741,4446.482,0.939,-1.913
15,2.509,476.5426,0.903,0.925,0.274,4.1,6988.351,4.439,-2.306
15,3.245,9897.8265,4.304,39.58,3.181,-3.222,5694.577,1.796,-1.832
15,0.829,1184.7216,1.196,1.118,0.351,3.803,6644.417,4.415,-0.294
15,4.937,907.8525,2.652,9.103,1.786,0.273,5318.666,2.871,-0.206
15,6.091,9164.4969,9.945,219.053,4.317,-5.902,4656.135,0.714,-0.174
15,5.092,15631.7683,8.907,153.958,4.286,-6.062,5453.801,1.061,-1.09
15,1.537,1594.3385,1.497,1.751,0.886,2.45,7226.255,4.108,-0.168
15,4.188,4458.5278,3.691,27.67,2.846,-2.434,5618.195,2.128,-0.782
15,4.558,1214.5,2.113,7.523,1.878,0.02,6171.809,2.945,-1.458
15,0.064,5017.0766,0.933,6.574,1.35,1.434,4869.413,2.782,-0.962
15,2.515,5801.2639,3.574,19.86,2.438,-1.333,5242.129,2.351,-0.075
15,3.03,602.5824,0.833,1.66,0.681,3.07,6595.468,3.915,-2.53
15,0.357,11392.4467,0.851,17.156,2.183,-0.64,4869.628,1.912,-1.784
15,0.845,2183.3188,1.462,1.833,0.883,2.459,7048.087,4.064,-0.21
15,2.258,1284.1987,1.291,3.118,1.007,2.199,5807.396,3.541,-1.205
15,0.249,1458.7051,0.966,1.051,0.321,3.932,6738.142,4.362,-1.317
15,3.686,2849.9043,2.684,16.762,2.278,-0.96,5205.164,2.403,-0.61
15,0.418,148.7747,0.494,0.41,-1.399,8.719,4006.302,4.899,-0.007
15,2.655,83270.267,13.818,249.85,4.755,-7.258,5609.964,0.768,-0.059
15,0.419,1521.0195,1.179,1.057,0.42,3.67,7111.795,4.506,-0.992
15,0.868,4099.8885,1.969,6.081,1.467,1.068,5415.371,3.185,-0.55
15,0.712,47137.2739,6.819,115.425,3.644,-4.079,4354.617,1.119,-0.138
15,0.634,7708.2711,2.744,9.876,1.91,-0.069,5485.333,2.938,-0.257
15,0.451,2556.0654,0.948,1.988,0.901,2.511,6838.567,3.716,-2.469
15,6.396,4416.7818,6.646,113.432,3.779,-4.621,4748.235,1.14,-1.105
15,1.459,2515.0419,1.807,3.077,1.241,1.539,6685.051,3.705,-0.081
15,0.704,199828.1061,13.42,235.02,4.733,-7.207,5711.469,0.807,-0.007
15,0.497,6981.826,2.747,9.649,1.781,0.283,5154.098,2.865,-0.014
15,0.622,8088.6693,2.2,6.627,1.941,-0.162,6814.758,3.102,-1.335
15,4.065,4511.3675,4.643,48.69,2.925,-2.337,4431.778,1.706,0.033
15,2.277,10402.6159,0.92,40.459,2.887,-2.363,4756.556,1.186,-2.615
15,6.244,111.3813,1.284,1.225,0.458,3.522,6749.447,4.345,-0.16
15,1.362,34672.583,6.524,96.604,3.594,-4.062,4624.912,1.239,0.181
15,6.736,119.2212,0.864,2.555,0.747,2.882,5520.95,3.613,-1.766
15,3.162,1372.3681,1.965,3.153,1.399,1.15,7234.761,3.721,-0.109
15,3.342,1728.3655,2.172,8.145,1.708,0.469,5377.136,2.923,-0.769
15,4.733,265.6778,0.995,1.468,0.633,3.145,6822.202,4.076,-1.38
15,0.365,3633.3921,1.813,5.506,1.196,1.833,4870.431,3.2,0.226
15,0.136,172674.0019,10.063,143.292,4.379,-6.322,5964.711,1.114,-0.023
15,2.785,4747.9753,2.955,7.989,2.337,-1.167,7799.332,3.082,-0.497
15,4.481,1171.9841,2.072,5.198,1.799,0.175,7092.176,3.276,-0.964
15,0.744,25763.4727,4.834,46.605,3.047,-2.799,4858.319,1.749,-0.18
15,1.933,1505.536,1.374,1.847,1.015,2.178,7573.941,4.026,-1.185
15,5.104,198.1015,0.839,1.546,0.53,3.412,6264.827,3.983,-1.636
15,4.959,2090.056,2.752,12.567,2.492,-1.56,6796.607,2.673,-1.295
15,1.341,232743.6594,23.424,688.056,5.242,-8.176,4473.919,0.125,-0.773
15,3.714,623.8845,1.393,3.67,0.975,2.311,5252.213,3.421,-0.515
15,4.663,1616.7733,2.605,7.32,2.144,-0.706,7292.167,3.118,-0.643
15,0.73,8309.0816,2.387,8.93,2.006,-0.328,6096.571,2.909,-1.253
15,1.275,10253.8698,3.52,14.238,2.39,-1.33,6023.941,2.596,0.088
15,0.835,2904.6003,1.236,2.178,1.152,1.85,7551.345,3.804,-1.766
15,5.303,3033.3023,4.012,36.674,2.976,-2.712,5256.773,1.903,-0.567
15,0.646,2893.0601,0.984,4.564,1.095,2.048,5046.921,3.088,-0.969
15,1.083,37063.3668,5.348,64.339,3.465,-3.927,5260.941,1.546,-1.231
15,5.004,653.1602,1.945,6.007,1.514,0.921,5599.629,3.201,-0.901
15,0.17,822.1964,0.939,0.812,-0.224,5.255,5601.858,4.583,-0.165
15,0.996,2709.3126,1.365,2.353,1.144,1.84,7230.539,3.809,-1.106
15,2.719,1607.6004,2.026,2.829,1.353,1.25,7439.031,3.826,0.149
15,4.265,2003.9745,2.701,6.744,2.178,-0.774,7743.593,3.162,-0.477
15,0.382,39971.5807,4.345,23.959,3.213,-3.391,7457.066,2.309,-0.915
15,4.662,10039.8806,6.573,106.163,3.793,-4.671,4946.672,1.215,-1.86
15,1.49,4484.3252,2.359,6.343,1.748,0.251,6236.709,3.209,0.054
15,1.197,141770.5842,13.02,304.74,4.702,-6.955,4925.334,0.546,-1.607
15,1.162,2671.7156,1.721,2.912,1.177,1.704,6623.915,3.739,-0.139
15,6.393,4036.1317,5.976,45.254,3.611,-4.422,6821.367,1.891,-0.254
15,1.88,25402.568,5.634,76.032,3.487,-3.904,4900.075,1.381,-0.659
15,5.238,228.6136,1.367,1.165,0.708,2.967,7996.161,4.63,-0.662
15,5.934,6684.4853,6.867,59.514,3.864,-5.059,6883.191,1.743,-0.308
15,6.416,1782.4952,3.58,21.704,2.933,-2.672,6665.47,2.301,-1.446
15,2.428,6267.4475,3.329,9.619,2.417,-1.414,7439.303,2.99,-0.136
15,0.571,10220.4555,2.721,6.245,2.11,-0.619,7737.788,3.23,-0.19
15,4.148,555.5575,1.441,1.763,1.035,2.128,7845.103,4.08,-0.973
15,0.393,4938.4975,1.623,2.868,1.424,1.139,7694.671,3.662,-1.027
15,0.313,32843.0953,3.904,34.23,3.04,-2.895,5645.4,1.932,-1.101
15,0.23,53628.2388,5.916,35.796,3.389,-3.877,6751.241,2.16,-0.095
15,0.877,47543.8743,5.851,75.683,3.614,-4.263,5284.463,1.361,-2.073
15,1.673,58508.8951,7.915,121.989,4.066,-5.509,5399.323,1.214,-0.43
15,3.271,111585.8935,25.512,673.836,5.335,-8.509,4770.051,0.152,-0.343
15,0.623,34046.3016,4.864,38.584,3.173,-3.284,5741.146,1.932,-0.138
15,2.911,35475.804,8.238,119.102,4.126,-5.66,5657.719,1.222,-0.426
15,0.281,48969.0394,4.942,47.235,3.356,-3.731,5767.211,1.811,-1.081
15,3.115,16376.1373,5.373,43.634,3.535,-4.186,6649.455,1.853,-1.366
15,2.449,696.1791,0.903,1.428,0.56,3.338,6631.73,4.059,-1.564
15,1.01,1222.2246,0.981,1.007,0.492,3.554,7596.631,4.416,-2.521
15,6.826,107.4743,1.445,1.554,0.645,3.017,6678.673,4.181,0.271
15,0.091,7489.0747,2.277,3.771,1.646,0.537,7623.843,3.615,-0.073
15,2.786,281.0082,0.923,0.787,-0.107,4.97,6082.438,4.633,-0.883
15,3.341,16247.267,5.8,63.072,3.637,-4.395,5867.881,1.502,-1.909
15,2.092,766.0422,0.872,1.712,0.489,3.487,5811.604,3.924,-1.153
15,6.53,1046.2379,2.573,18.381,2.541,-1.628,5781.201,2.278,-1.673
15,1.378,2641.1019,1.642,2.826,1.266,1.513,7079.849,3.696,-0.546
15,2.386,1130.9019,1.346,2.622,0.931,2.347,6058.744,3.72,-0.323
15,1.051,1334.9732,0.842,1.677,0.566,3.322,6140.385,3.894,-1.56
15,0.982,29080.245,4.431,41.213,3.2,-3.3,5642.628,1.806,-1.331
15,0.391,7180.5207,2.138,7.128,1.748,0.328,5881.941,3.093,-1.012
15,3.296,136655.8278,28.82,781.775,5.511,-8.974,4900.712,0.002,-1.374
15,2.798,1629.0821,1.87,3.158,1.408,1.142,7267.852,3.712,-0.326
15,5.718,2262.8083,3.58,18.462,2.852,-2.491,6900.144,2.5,-0.981
15,1.904,972.5757,1.31,1.15,0.629,3.156,7688.014,4.42,-0.706
15,3.799,7088.0162,4.474,36.738,3.092,-3.051,5616.192,1.971,-0.478
15,3.325,7281.5094,3.84,35.57,2.963,-2.636,5301.036,1.918,-2.284
15,0.595,20068.2294,3.295,21.587,2.711,-2.108,5884.471,2.269,-0.965
15,0.133,15088.6298,0.95,24.499,2.363,-1.027,4520.876,1.648,-1.32
15,0.756,3720.1887,1.722,3.816,1.305,1.391,6228.78,3.463,-0.192
15,4.229,7730.5373,4.875,49.368,3.335,-3.67,5572.865,1.76,-1.147
15,6.371,966.9188,3.044,9.171,2.379,-1.298,7457.584,3.014,-0.797
15,3.742,12861.6031,5.851,81.729,3.614,-4.288,5085.248,1.432,-2.114
15,2.441,31396.9845,7.249,114.59,3.872,-4.925,4981.115,1.158,-0.297
15,4.432,649.9067,1.333,2.671,1.292,1.504,7388.694,3.623,-1.869
15,4.49,354.6905,0.903,1.822,0.797,2.761,6730.345,3.916,-2.654
15,1.397,31440.5676,5.673,56.447,3.421,-3.884,5476.226,1.662,-0.003
15,0.935,43012.7972,4.833,59.679,3.532,-4.103,5675.308,1.52,-2.24
15,3.634,11085.0674,4.987,32.448,3.391,-3.857,7099.173,2.066,-0.509
15,1.557,661.647,1.021,0.872,0.159,4.34,6737.393,4.624,-1.251
15,1.824,2018.2929,1.328,3.261,1.229,1.651,6450.595,3.521,-1.556
15,1.715,107073.6212,14.902,443.902,4.774,-6.864,4253.601,0.3,-0.429
15,1.203,6958.2561,2.716,6.097,2.013,-0.416,7406.92,3.271,0.187
15,5.084,6367.7494,5.26,44.132,3.499,-4.104,6479.258,1.848,-1.355
15,3.803,151.4566,0.925,0.767,-0.236,5.296,5720.908,4.721,-0.197
15,1.46,16229.1199,4.641,46.994,2.962,-2.512,4608.727,1.738,-0.208
15,0.049,75031.0285,6.224,89.738,3.678,-4.425,5033.991,1.295,-0.647
15,0.361,19794.2604,3.946,19.844,2.598,-1.843,5751.59,2.38,-0.022
15,1.069,3991.6377,1.701,3.495,1.502,0.926,7290.404,3.623,-0.997
15,0.114,2275.0626,1.348,1.22,0.644,3.101,7529.624,4.482,-0.497
15,0.176,667.2632,0.793,0.669,-0.392,5.703,5598.486,4.771,-1.028
15,2.404,1410.7345,1.603,2.182,1.131,1.849,7454.003,3.937,-0.368
15,0.958,2949.9129,1.75,3.876,1.184,1.693,5764.069,3.507,0.148
15,0.089,266.1592,0.501,0.466,-1.153,7.785,4329.723,4.738,-1.359
15,4.961,562.3247,1.94,5.244,1.368,1.289,5508.781,3.281,-0.328
15,2.172,4068.3516,2.342,5.223,1.96,-0.219,7764.695,3.405,-0.526
15,5.728,13489.0203,11.633,424.671,4.634,-6.378,4013.967,0.234,-0.416
15,0.67,12766.7613,1.375,22.486,2.412,-1.201,4854.443,1.852,-1.506
15,0.81,44997.424,4.787,52.427,3.515,-4.076,5996.839,1.515,-2.451
15,0.929,108113.5155,10.634,257.595,4.417,-6.098,4547.064,0.581,-0.67
15,2.755,13877.721,5.374,90.697,3.413,-3.466,4298.374,1.221,-0.188
15,3.87,419.3084,1.455,1.534,0.645,3.017,6720.901,4.218,0.211
15,1.977,87.6753,0.562,0.477,-1.255,8.309,4035.318,4.857,0.231
15,1.56,1000.9181,1.23,1.085,0.516,3.438,7417.936,4.651,-1.075
15,1.577,5203.075,0.99,22.282,2.086,-0.158,4041.347,1.799,-0.099
15,2.38,8272.4965,0.93,55.683,2.87,-1.968,4014.552,0.894,-0.956
15,0.009,55881.5355,4.82,37.164,3.35,-3.746,6477.99,1.975,-0.833
15,3.974,15197.9081,6.475,75.808,3.825,-4.883,5961.335,1.497,-1.412
15,1.891,844.0407,0.895,1.384,0.501,3.478,6512.067,4.079,-1.428
15,0.857,387265.64,28.09,716.614,5.429,-8.797,4882.671,0.157,-0.343
15,5.523,950.2005,0.904,19.963,2.142,-0.412,4409.514,1.809,-0.878
15,2.397,784.724,1.037,1.331,0.643,3.13,7202.664,4.202,-1.478
15,1.023,199168.3372,15.162,282.213,4.881,-7.519,5674.286,0.64,-0.446
15,6.09,8374.3957,8.838,189.596,4.214,-5.705,4715.042,0.81,-0.775
15,2.873,792.5182,1.083,1.665,0.839,2.632,7211.196,4.009,-1.498
15,0.37,2654.7063,0.948,1.986,0.901,2.51,6841.737,3.791,-2.481
15,2.734,1756.7761,2.13,2.931,1.44,1.042,7684.054,3.811,0.166
15,3.796,2443.9107,2.895,6.535,2.151,-0.736,7746.015,3.287,0.111
15,3.495,44836.1916,12.971,165.5,4.532,-6.754,6061.784,1.111,0.132
15,1.407,373.5935,0.795,0.668,-0.403,5.731,5572.138,4.758,-0.957
15,3.38,452.2015,1.068,1.288,0.55,3.344,6943.341,4.242,-1.161
15,2.039,42130.0843,7.462,161.977,4.018,-5.162,4557.99,0.896,-1.329
15,6.491,51.9553,0.874,0.902,-0.098,4.931,5714.935,4.456,-0.266
15,5.328,276.3152,1.04,1.833,0.911,2.465,7165.469,3.907,-1.885
15,2.926,625.1311,1.243,1.988,0.625,3.094,5835.927,3.916,0.132
15,0.321,8463.435,1.887,8.499,1.876,0.042,5797.012,2.828,-1.716
15,3.22,712.9578,1.093,1.47,0.898,2.515,7939.907,4.123,-1.949
15,3.781,127.036,0.822,0.68,-0.388,5.699,5568.521,4.77,-0.461
15,2.616,18239.5024,5.152,44.572,3.426,-3.921,6178.33,1.793,-0.75
15,4.581,19358.7069,9.141,131.947,4.269,-6.015,5834.464,1.092,0.204
15,3.77,6108.7387,4.548,17.502,2.924,-2.7,7388.578,2.515,0.046
15,5.66,113.7612,1.075,0.948,0.272,4.06,6895.116,4.517,-1.285
15,5.033,665.7305,2.08,4.918,1.516,0.85,6195.92,3.302,0.155
15,6.192,301.8845,1.349,2.77,1.327,1.408,7403.44,3.63,-1.889
15,2.76,3309.5439,2.191,20.532,2.149,-0.359,4365.971,2.146,0.284
15,1.707,43100.614,6.536,62.755,3.824,-4.88,6549.032,1.636,-1.947
15,0.727,14158.8424,4.08,23.073,2.5,-1.482,5040.213,2.293,0.122
15,2.195,1091.5868,1.59,1.604,0.811,2.615,7228.758,4.208,0.163
15,6.122,739.269,1.863,9.677,2.073,-0.466,6088.926,2.715,-1.837
15,1.952,1860.8772,1.53,2.522,1.196,1.7,7198.421,3.801,-0.975
15,0.443,52002.1992,5.506,71.336,3.525,-4.023,5171.845,1.398,-1.722
15,0.555,49098.7088,5.212,51.26,3.478,-4.011,5936.255,1.679,-1.852
15,5.777,32615.9494,22.381,445.459,5.197,-8.344,5417.466,0.512,0.175
15,0.125,2284.5271,1.193,1.4,0.65,3.081,7052.248,4.204,-0.652
15,1.171,28553.3724,4.618,36.667,3.233,-3.45,6099.031,1.985,-0.46
15,1.443,12658.2299,3.874,13.721,2.62,-1.955,7003.29,2.739,0.196
15,0.063,2493.4517,1.242,1.907,0.68,2.953,6149.102,3.943,-0.046
15,0.115,854.6566,0.847,0.888,-0.211,5.227,5395.087,4.449,-0.112
15,6.025,15120.0398,15.174,476.476,4.819,-6.922,4214.824,0.218,-0.089
15,4.88,67.9853,0.777,0.654,-0.486,5.957,5368.917,4.763,-0.777
15,4.677,7177.6951,5.232,33.236,3.433,-3.957,7186.104,2.114,-0.6
15,5.125,1034.3666,2.222,5.096,1.959,-0.198,7857.446,3.365,-1.145
15,2.541,1325.3626,1.777,4.538,1.155,1.847,5240.184,3.359,-0.206
15,0.752,88592.9957,7.915,114.24,4.066,-5.489,5579.442,1.22,-0.427
15,4.957,278.775,1.205,1.292,0.772,2.817,7876.099,4.26,-1.384
15,0.396,3931.6351,1.345,2.536,1.235,1.631,7337.291,3.739,-1.51
15,2.849,19813.6859,7.05,146.933,3.785,-4.334,4184.476,0.91,-0.166
15,1.742,6741.6661,2.683,24.894,2.349,-0.886,4447.85,2.05,0.101
15,2.336,7685.0461,3.662,10.776,2.557,-1.764,7618.448,2.937,0.031
15,4.966,1491.0582,3.503,16.247,2.229,-0.833,5138.158,2.516,-0.009
15,0.391,593.6706,0.754,0.614,-0.392,5.741,5847.957,4.712,-2.041
15,6.078,4470.718,6.341,89.538,3.64,-4.329,4931.708,1.354,-0.323
15,5.809,193.6012,0.973,1.754,0.794,2.757,6845.102,3.932,-1.861
15,0.957,139109.1437,11.795,260.025,4.583,-6.674,4980.723,0.632,-1.446
15,1.26,131010.0851,11.947,313.739,4.69,-6.846,4821.876,0.416,-1.416
15,0.642,1433.7949,0.857,1.366,0.463,3.575,6414.597,4.066,-1.447
15,5.909,1823.066,4.069,14.62,2.724,-2.213,7203.234,2.776,0.172
15,0.806,2132.8181,1.089,3.345,0.883,2.549,5219.455,3.419,-0.91
15,1.985,3564.9122,2.018,4.928,1.767,0.254,7150.843,3.328,-0.662
15,0.677,3958.8983,1.319,2.699,1.362,1.336,7653.506,3.692,-2.409
15,0.113,14784.1694,3.07,7.918,2.229,-0.962,7363.452,3.074,0.203
15,6.776,4853.7166,6.955,70.503,3.932,-5.206,6576.538,1.579,-0.864
15,0.492,10332.6479,2.805,5.758,2.088,-0.563,7956.952,3.404,0.112
15,0.337,16237.9166,1.552,22.666,2.474,-1.39,5008.505,1.921,-1.984
15,4.368,4227.7112,3.591,21.87,2.863,-2.498,6382.306,2.285,-1.194
15,1.986,117206.6805,15.457,340.125,4.84,-7.331,5048.711,0.584,-1.117
15,0.092,198459.2546,10.182,267.294,4.556,-6.581,4836.211,0.556,-1.58
15,5.357,79.7671,0.886,0.747,-0.169,5.134,6024.417,4.694,-0.713
15,1.068,35606.3554,5.715,65.943,3.433,-3.825,5101.693,1.53,-0.019
15,4.762,209.0928,1.189,1.062,0.434,3.636,7150.524,4.517,-0.932
15,3.495,607.8492,0.978,1.905,0.867,2.586,6852.569,3.809,-1.987
15,0.081,1571.6689,0.927,1.03,0.326,3.937,6824.517,4.375,-1.636
15,2.809,78483.5348,13.633,197.892,4.755,-7.283,6302.104,1.027,-0.406
15,2.115,6770.3347,0.861,25.581,2.432,-1.268,4601.927,1.616,-1.857
15,2.304,1071.1685,1.112,1.482,0.881,2.546,7832.852,4.146,-1.769
15,3.151,14143.9946,5.376,34.552,3.404,-3.904,6932.119,2.075,-0.188
15,6.83,2528.8726,5.012,42.739,3.393,-3.844,6192.794,1.877,-1.084
15,6.453,173.8612,1.018,2.386,0.962,2.346,6467.398,3.62,-1.982
15,1.657,1145.3832,0.835,1.739,0.689,3.048,6474.145,3.868,-2.35
15,3.099,12189.9705,5.049,47.682,3.276,-3.529,5480.55,1.772,-0.355
15,3.743,4329.8253,0.856,40.257,2.747,-1.925,4399.241,1.17,-1.53
15,2.49,36943.3097,8.422,170.13,4.078,-5.328,4603.73,0.914,-0.252
15,0.568,145250.9573,11.208,249.041,4.483,-6.378,4803.575,0.681,-0.314
15,3.05,5797.8585,3.474,14.218,2.606,-1.866,6823.112,2.597,-0.875
15,2.539,738.5339,0.975,1.164,0.663,3.119,7792.921,4.243,-2.37
15,6.475,5860.4645,7.132,66.174,3.983,-5.314,6986.456,1.619,-1.415
15,0.95,59053.5715,8.088,189.19,3.989,-4.806,4148.112,0.779,0.206
15,2.643,708.1186,1.163,1.125,0.66,3.106,7917.148,4.389,-1.508
15,0.987,1194.0687,1.265,1.181,0.416,3.628,6713.326,4.43,-0.146
15,2.048,43060.4841,7.5,134.554,4.005,-5.219,4964.235,1.075,-1.516
15,2.047,165.2292,0.661,0.57,-0.802,6.863,4795.271,4.728,-0.822
15,0.324,3659.2002,1.548,3.892,1.146,1.859,5628.541,3.38,-0.919
15,1.111,904.2278,0.964,1.2,0.227,4.107,5971.303,4.245,-0.281
15,5.99,4999.8504,5.807,48.825,3.657,-4.485,6746.537,1.792,-1.76
15,1.471,162623.2665,16.145,372.994,4.912,-7.527,5023.995,0.52,-1.154
15,1.426,2569.1528,1.32,2.625,1.281,1.525,7407.504,3.739,-1.895
15,0.904,15496.8458,4.01,20.525,2.6,-1.855,5659.194,2.384,0.186
15,4.33,89.4448,0.737,0.579,-0.465,5.912,5774.932,4.927,-1.608
15,3.769,1964.6846,1.081,22.035,2.133,-0.236,4174.856,1.79,-0.125
15,1.075,41868.1049,5.582,60.778,3.542,-4.184,5657.534,1.583,-1.009
15,6.752,280.0282,1.651,3.302,1.471,1.012,7367.79,3.584,-1.045
15,0.944,3480.8261,1.489,3.413,1.34,1.347,6719.118,3.542,-1.268
15,0.06,2138.8183,1.277,1.16,0.571,3.289,7405.608,4.582,-0.935
15,6.015,9329.9946,8.662,84.475,4.188,-5.864,6960.439,1.511,-0.346
15,2.335,223.8811,0.724,0.568,-0.452,5.915,5874.688,4.853,-2.473
15,6.778,118.6694,1.239,1.535,0.741,2.85,7099.072,4.136,-0.894
15,1.47,155.9825,0.542,0.51,-1.056,7.565,4377.452,4.726,-0.72
15,0.549,122511.9109,10.216,232.272,4.351,-5.99,4610.005,0.695,-0.086
15,4.695,9884.5427,6.045,49.143,3.725,-4.67,6991.493,1.883,-1.861
15,3.058,1591.5154,1.97,6.41,1.509,0.933,5407.358,3.181,-0.621
15,1.28,46923.9609,7.561,155.745,3.872,-4.637,4272.607,0.911,-0.166
15,0.748,4655.9397,2.1,3.139,1.499,0.912,7678.745,3.737,-0.074
15,0.678,327.7594,0.678,0.555,-0.754,6.744,4990.38,4.931,-0.526
15,3.078,5951.6647,3.184,20.208,2.66,-1.951,5905.182,2.286,-1.318
15,0.066,15475.5435,2.946,17.875,2.31,-1.014,5131.916,2.387,-0.698
15,2.033,56.5433,0.313,0.29,-1.658,9.205,4109.095,4.974,-1.278
15,1.495,63999.2338,8.538,166.255,4.127,-5.526,4791.952,0.912,-0.006
15,3.497,1806.7935,1.315,12.526,1.84,0.219,4677.352,2.386,-0.785
15,1.035,725.1457,1.02,0.889,0.008,4.662,6118.288,4.576,-0.307
15,3.351,436.2643,1.223,1.051,0.515,3.451,7530.351,4.521,-1.187
15,1.557,1896.3679,1.495,2.048,1.053,2.053,7356.014,3.981,-0.496
15,1.372,22862.0994,0.942,69.751,3.263,-3.168,4498.062,0.695,-2.257
15,0.839,13840.1676,2.918,17.678,2.493,-1.545,5735.63,2.393,-0.995
15,5.38,3858.9479,4.734,102.783,3.403,-3.313,4016.418,1.081,0.032
15,6.286,45.1981,0.804,0.659,-0.279,5.439,6020.56,4.745,-1.56
15,6.543,3706.1108,5.924,65.208,3.614,-4.388,5694.417,1.616,-0.332
15,1.519,42431.8943,6.135,60.425,3.718,-4.658,6277.583,1.63,-1.056
15,6.651,351.3746,2.016,6.464,1.619,0.62,5733.83,3.165,-0.843
15,0.155,8009.0123,1.969,5.645,1.739,0.327,6574.412,3.229,-1.169
15,1.331,4769.246,2.747,9.848,1.781,0.277,5101.904,2.925,-0.047
15,0.53,14267.0785,3.135,8.19,2.393,-1.301,7951.505,3.119,-0.318
15,1.607,5808.7019,2.452,6.691,2.036,-0.427,7167.485,3.129,-0.84
15,0.264,1493.0463,1.135,1.051,0.336,3.866,6796.363,4.438,-0.824
15,1.805,15371.3179,4.091,42.507,3.015,-2.739,4994.264,1.772,-1.264
15,0.186,571.2031,0.75,0.616,-0.513,6.03,5444.261,4.856,-0.722
15,2.671,10511.7108,4.534,39.857,3.003,-2.779,5124.436,1.895,-0.129
15,5.667,245.6221,1.336,2.412,0.913,2.382,6252.69,3.779,-0.279
15,3.319,58.3115,0.53,0.474,-1.135,7.852,4340.221,4.79,-0.762
15,5.228,558.4953,2.114,2.992,1.441,1.037,7609.009,3.768,0.124
15,0.078,4868.3602,1.284,3.158,1.302,1.486,6835.487,3.532,-2.246
15,0.231,347.8093,0.587,0.47,-0.898,7.062,4992.94,4.904,-1.806
15,3.63,3590.1733,1.406,22.654,2.484,-1.406,5038.86,1.847,-2.242
15,0.092,1326.823,0.843,0.943,0.185,4.294,6576.74,4.402,-1.703
15,2.433,1412.2437,1.538,2.378,1.147,1.818,7204.401,3.871,-0.815
15,5.607,91.7744,0.779,0.896,0.07,4.58,6314.484,4.421,-1.756
15,4.345,336.3081,1.046,1.722,0.671,3.022,6438.328,3.965,-1.025
15,4.516,50850.2224,21.953,535.222,5.148,-8.047,4804.332,0.3,-0.343
15,1.12,457.7467,0.732,0.731,-0.345,5.577,5504.537,4.553,-0.746
15,0.105,2654.0555,0.903,1.686,0.797,2.776,6997.139,3.847,-2.632
15,0.849,1322.9005,0.917,1.376,0.47,3.544,6413.589,4.104,-1.243
15,0.689,1480.4566,1.106,1.316,0.495,3.459,6652.775,4.217,-0.552
15,3.413,729.3127,0.897,4.439,1,2.272,4846.902,3.139,-0.88
15,0.449,148557.7277,10.157,211.882,4.433,-6.308,5060.025,0.77,-1.702
15,5.057,335.9353,1.52,2.328,0.935,2.311,6444.815,3.864,-0.093
15,2.895,680.534,1.078,1.827,0.701,2.94,6358.499,3.929,-0.904
15,6.443,160.7465,1.389,1.993,0.857,2.527,6661.756,3.951,-0.33
15,0.165,1112.7573,0.967,0.795,0.056,4.603,6651.977,4.692,-1.28
15,1.205,1268.6812,1.038,1.408,0.573,3.278,6729.81,4.14,-1.097
15,0.589,1939.1593,1.407,2.003,0.668,2.972,5958.107,3.965,0.206
15,3.619,376.9821,1.118,1.676,0.467,3.499,5799.672,4.017,0.065
15,4.864,1409.4182,2.412,9.005,2.117,-0.609,6473.665,2.868,-1.465
15,4.424,24175.4824,10.15,151.045,4.396,-6.34,5867.413,1.032,-0.416
15,1.022,3468.1602,1.516,4.693,1.383,1.278,5874.811,3.239,-1.565
15,0.599,64717.7449,6.092,48.237,3.711,-4.654,6998.614,1.801,-0.681
15,0.948,23767.7784,5.132,39.728,3.019,-2.828,5179.069,1.941,0.076
15,4.665,2137.1563,2.895,16.445,2.402,-1.315,5642.649,2.452,-0.655
15,0.383,2238.5085,1.054,1.752,0.738,2.867,6632.865,3.949,-1.201
15,5.195,983.9457,2.366,9.145,1.94,-0.16,5798.552,2.933,-1.074
15,0.156,96885.6653,6.799,60.543,3.89,-5.087,6927.393,1.704,-1.144
15,5.121,584.1099,1.786,4.923,1.452,1.046,5968.782,3.285,-0.471
15,2.776,22607.5436,5.895,63.167,3.683,-4.548,6018.029,1.595,-1.659
15,0.968,119701.99,12.582,386.671,4.6,-6.358,4124.1,0.341,-0.14
15,4.773,3164.4348,4.324,22.869,2.765,-2.275,5897.663,2.38,0.029
15,0.27,3785.6753,1.385,2.645,1.141,1.839,6807.471,3.711,-0.69
15,2.649,719.2104,1.295,1.147,0.67,3.066,7882.928,4.413,-1.152
15,2.748,35163.5966,7.538,73.372,4.047,-5.479,6885.484,1.576,-1.265
15,0.627,1295.4342,1.107,0.945,0.382,3.811,7361.026,4.534,-1.754
15,0.065,124414.5439,8.085,132.105,4.092,-5.539,5267.936,1.086,-0.611
15,0.8,6628.8697,2.012,15.512,1.919,0.093,4399.063,2.428,0.06
15,0.081,5449.4068,1.94,2.577,1.375,1.237,7893.432,3.873,-0.149
15,0.058,1210.5221,0.957,0.783,0.103,4.527,6885.904,4.616,-2.063
15,6.238,310.4023,1.637,4.674,1.361,1.302,5813.672,3.33,-1.141
15,6.167,2497.6095,4.097,31.556,3.13,-3.155,6195.213,2.099,-1.868
15,1.525,930.854,1.018,1.28,0.426,3.631,6484.483,4.213,-0.858
15,0.117,128724.2623,8.238,121.058,4.126,-5.665,5611.822,1.224,-0.411
