index par epar mag
7228 16.01 1.34 9.435
7229 6.06 1.11 8.621
7230 51.27 0.88 7.046
7231 5.64 0.99 8.469
7232 17.92 1.02 8.249
7233 -1.98 2.61 11.002
7234 11.59 0.92 8.356
7235 19.63 3.32 NA
7236 17.47 0.89 8.27
7237 5.35 1.03 8.717
7238 5.58 0.83 6.456
7239 30.13 0.94 7.71
7240 18.92 1.06 8.415
7241 0.57 1.36 9.44
7242 0.93 0.8 7.264
7243 9.91 0.94 8.582
7244 0.97 0.87 8.854
7245 3.35 1.39 9.328
7246 1.67 0.69 5.888
7247 2.61 1.09 8.681
7248 0.07 0.76 7.139
7249 28.23 0.94 7.924
7250 5.52 0.93 7.466
7251 10.96 0.69 7.87
7252 0.4 1.21 9.551
7253 0.67 1.14 9.219
7254 2.69 2.32 10.445
7255 2.55 1.11 8.473
7256 6.01 0.82 7.204
7257 13.7 0.8 7.466
7258 8.64 1.41 9.424
7259 4.88 1.51 9.854
7260 4.97 1.09 8.82
7261 2.6 0.99 8.495
7262 6.71 1.33 8.687
7263 4.32 1.13 9.037
7264 4.04 0.98 8.11
7265 4.06 1.35 9.281
7266 7.4 0.52 6.216
7267 3.41 0.91 9.428
7268 6.55 1.23 9.295
7269 4.16 0.77 7.971
7270 14.57 5.84 8.663
7271 33.71 0.72 5.828
7272 18.99 1.01 8.016
7273 3.5 1.44 9.909
7274 9.43 0.95 8.214
7275 8.3 1.08 8.2
7276 4.45 1.07 8.3
7277 5.05 0.89 7.819
7278 10.15 0.49 6.479
7279 14.08 0.93 8.092
7280 3.75 1.2 8.899
7281 2.97 1.63 8.755
7282 21.63 2.34 NA
7283 5.38 1.15 8.881
7284 2.04 0.85 7.146
7285 22.36 2.04 10.065
7286 4.44 0.96 7.916
7287 3.8 1.19 9.095
7288 5.18 0.86 8.203
7289 15.96 0.68 4.796
7290 3.9 1.24 8.878
7291 20.73 1.95 10.102
7292 4.91 0.77 8.401
7293 12.89 0.62 6.948
7294 4.34 1.25 9.367
7295 1.31 1.36 9.607
7296 3.66 2.35 8.551
7297 2.37 0.87 9.262
7298 13 1.7 9.89
7299 -2.53 17.36 NA
7300 3.77 0.86 8.461
7301 -1.95 3.24 9.843
7302 11.78 1.03 8.218
7303 7.41 1.27 9.466
7304 3.66 0.89 7.19
7305 1.85 2.33 10.929
7306 12.59 1.19 10.295
7307 9.83 1.38 8.974
7308 3.35 1.07 8.473
7309 2.05 1.27 8.953
7310 3.62 1.32 7.964
7311 5.61 1.61 9.807
7312 9.27 1.15 8.866
7313 3.62 0.75 7.968
7314 1.13 1.17 9.285
7315 5.57 1.16 8.458
7316 8.32 0.86 5.885
7317 9.19 0.78 9.296
7318 5.33 0.94 7.925
7319 8.39 0.93 8.111
7320 4.53 1.18 8.866
7321 -0.21 0.93 9.217
7322 7.82 1.07 7.088
7323 4.65 1.27 8.988
7324 10.37 2.67 9.828
7325 2.77 0.95 7.078
7326 7.55 1.01 8.321
7327 6.83 1.52 9.59
7328 24.48 1.95 10.946
7329 3.09 1.38 9.557
7330 3.87 1.01 7.998
7331 0.84 1.2 9.335
7332 4.33 2.5 9.688
7333 28.7 1.6 NA
7334 47.65 0.6 6.599
7335 3.84 1.12 8.437
7336 3.1 1.06 8.016
7337 8.29 0.78 8.646
7338 2.73 0.87 9.11
7339 5.33 0.94 7.325
7340 16.32 0.75 5.626
7341 31.98 0.92 9.157
7342 0.51 1.56 9.718
7343 2.9 1.24 9.372
7344 10.23 0.94 8.301
7345 2.86 1.21 9.27
7346 2.93 1.73 8.643
7347 4.51 1.03 8.093
7348 1.93 0.87 8.395
7349 6.09 1.11 7.582
7350 5.07 1.06 9.406
7351 1.85 0.91 8.278
7352 27.26 0.91 6.957
7353 7.28 0.76 6.769
7354 5.46 0.74 6.08
7355 4.68 0.69 8.069
7356 8.87 0.77 6.236
7357 3.98 0.96 6.586
7358 3.29 0.85 6.548
7359 12 2.24 7.32
7360 0.86 2.11 10.041
7361 5.06 0.8 7.087
7362 10.44 7 8.548
7363 5.92 1.27 9.201
7364 2.84 1.05 8.174
7365 20.91 0.9 6.824
7366 3.16 1.44 9.456
7367 42.29 1.47 7.24
7368 9.66 1.22 8.687
7369 3.77 0.97 7.96
7370 4.84 1.19 8.123
7371 8.92 1.77 10.172
7372 2.86 0.95 8.365
7373 6.82 1.19 8.837
7374 3.79 1.57 9.584
7375 2.93 1.02 8.359
7376 5.71 1.51 10.02
7377 6.93 1.11 7.453
7378 7.61 0.71 8.241
7379 6.2 1.12 8.555
7380 5.29 1.26 8.959
7381 17.87 1.81 10.884
7382 24.72 0.54 6.065
7383 2.26 0.83 9.176
7384 6.4 1.2 8.945
7385 3.46 1.28 8.971
7386 8.31 1 8.752
7387 35.36 30.29 NA
7388 4.03 1.34 8.954
7389 2.71 1.42 9.587
7390 11.41 1.53 10.315
7391 28.63 1.12 8.89
7392 10.33 4.37 NA
7393 -2.35 2.77 NA
7394 3.89 0.76 6.857
7395 8.27 0.76 6.814
7396 4.6 0.73 7.022
7397 2.57 1.03 8.27
7398 4.61 0.9 8.713
7399 27.36 0.93 7.242
7400 4.98 1.28 9.474
7401 6.68 1.27 8.011
7402 4.42 1.64 9.758
7403 1.28 1.41 9.553
7404 5.59 1.25 9.369
7405 4.15 1.34 9.927
7406 4.46 1.53 6.952
7407 3.57 1.07 8.193
7408 5.42 1.19 8.955
7409 1.59 1.13 8.866
7410 2.38 1.21 9.2
7411 9.52 4.34 11.086
7412 2.17 1.36 9.301
7413 3.13 1.25 8.743
7414 3.99 0.97 7.573
7415 23.86 2.07 NA
7416 5.9 0.84 6.985
7417 1.91 1.74 10.59
7418 10.99 1.14 10.163
7419 2.83 0.91 8.187
7420 20.47 4.74 10.977
7421 20.46 0.84 8.9
7422 17.33 0.98 7.859
7423 5.32 1.12 8.956
7424 20.82 0.79 7.921
7425 7.5 0.83 7.934
7426 0.33 1.19 8.397
7427 3.99 1.2 9.036
7428 4.04 0.71 7.845
7429 2.69 0.84 9.044
7430 9.75 0.98 8.508
7431 1.42 0.84 6.212
7432 10.43 1.34 9.103
7433 5.52 1.33 10.201
7434 2.97 1.68 9.706
7435 7.43 0.83 6.654
7436 19.39 1.33 9.474
7437 5.35 0.99 8.505
7438 26.54 0.68 6.475
7439 8.41 0.77 6.513
7440 4.16 1.96 10.675
7441 23.3 0.86 7.239
7442 16.75 0.82 5.978
7443 9.25 1.15 8.336
7444 2.87 0.88 7.829
7445 5.94 0.73 5.548
7446 8.43 1.11 9.256
7447 6.85 1.46 10.302
7448 2.21 1.44 9.33
7449 10.69 3.76 NA
7450 -0.41 1.62 9.739
7451 13.33 1.61 6.871
7452 3.4 0.87 7.045
7453 2.37 1.04 8.102
7454 11.63 1.19 10.177
7455 3.94 1.11 8.42
7456 0.52 2.3 9.198
7457 7.18 0.89 7.957
7458 16.13 0.97 5.739
7459 8.58 1.19 9.133
7460 1.78 1.01 8.066
7461 21.22 1.32 8.927
7462 3.51 3.7 9.785
7463 2.39 1.26 9.181
7464 5.53 1.37 9.962
7465 1.35 1.22 9.213
7466 4.66 0.71 7.928
7467 4.74 0.79 8.361
7468 1.15 0.91 9.589
7469 2.78 1.81 10.578
7470 8.67 0.92 7.781
7471 3.75 1.27 7.989
7472 9.62 0.72 8.32
7473 3.5 1.17 9.257
7474 4.65 1.31 10.091
7475 11.96 1.03 8.713
7476 3.34 0.95 8.533
7477 5.01 1.12 8.256
7478 3.6 1.02 7.49
7479 3.55 1.12 8.938
7480 5.23 1.17 8.766
7481 4.13 0.8 7.149
7482 1.98 1.16 8.875
7483 2.72 1.4 10.103
7484 -2.28 8.91 9.893
7485 2.41 1.21 8.465
7486 3.61 1.2 8.691
7487 3.12 1.66 8.753
7488 7.77 0.82 6.35
7489 2.96 0.8 7.362
7490 -3.84 2.71 9.838
7491 0.19 0.78 8.564
7492 2.32 1.24 8.81
7493 3.15 1.18 8.076
7494 2.61 1.11 8.229
7495 30.75 1.39 9.343
7496 2.39 0.97 8.262
7497 4.81 0.97 7.158
7498 2.27 1.05 8.71
7499 2.26 1.12 9.131
7500 3.6 0.8 6.605
7501 4.05 0.57 6.39
7502 7.07 1.66 9.973
7503 3.79 1.45 9.57
7504 6.09 1.45 8.57
7505 4.52 1.02 8.378
7506 7.08 0.98 7.454
7507 1.47 0.84 7.597
7508 74.25 0.72 4.159
7509 6.42 0.69 6.956
7510 6.78 0.94 7.212
7511 4.03 0.93 7.827
7512 4.54 0.82 7.305
7513 8.94 1.01 8.456
7514 2 1.01 8.659
7515 -0.65 1.17 8.508
7516 1.28 1.15 8.334
7517 5.35 1.03 8.577
7518 5.96 1.55 9.579
7519 1.01 1.11 8.58
7520 5.1 1.18 9.426
7521 15.9 2.46 NA
7522 6.14 1.25 9.003
7523 7.72 1.42 9.39
7524 -0.75 1.38 8.899
7525 6.01 1.64 9.421
7526 1.43 1.25 8.774
7527 10.41 1.06 8.25
7528 0.63 1.15 9.581
7529 8.43 1.16 9.276
7530 29.58 1.42 5.584
7531 5.61 0.93 7.61
7532 12.64 0.8 7.954
7533 1.82 1.33 9.038
7534 29.72 1.08 8.225
7535 4.87 2.62 8.869
7536 6.04 1 8.286
7537 3.03 0.97 9.349
7538 7.61 0.82 8.792
7539 5.62 1.38 10.2
7540 9.38 1.52 9.565
7541 2.92 1.03 7.897
7542 2.8 0.98 8.301
7543 0.69 1.68 9.354
7544 11.31 0.93 7.15
7545 7.56 0.99 7.873
7546 3.51 0.98 7.871
7547 6.4 0.93 8.158
7548 -1.33 1.54 9.96
7549 45.79 1.63 10.499
7550 2.01 1.08 8.154
7551 0.5 1.13 9.292
7552 3.41 0.56 6.59
7553 6.28 3.07 10.166
7554 0.54 1.55 7.237
7555 8.03 0.94 7.189
7556 2.39 1 8.583
7557 9.48 1.19 9.342
7558 3 0.84 7.592
7559 23.8 0.86 7.095
7560 8.14 1.07 8.087
7561 -3.47 7.96 8.964
7562 5.82 1.09 8.499
7563 8.94 0.5 5.776
7564 5.88 1 8.331
7565 16.93 2.01 10.444
7566 2.7 1.4 9.235
7567 4.42 0.98 8.403
7568 4.17 1.04 8.291
7569 3.56 0.84 7.436
7570 2.19 1.41 9.547
7571 42.35 0.96 7.75
7572 1.58 1.09 8.695
7573 0.91 1.72 10.03
7574 16.56 1.34 9.646
7575 26.15 0.81 6.302
7576 1.8 0.76 8.512
7577 5.15 2.55 NA
7578 3.77 1 7.834
7579 5.97 1.58 10.057
7580 38.86 0.83 6.841
7581 10.94 1.24 9.048
7582 6.81 2.37 10.958
7583 22.68 0.57 0.522
7584 15.53 0.97 6.848
7585 5.72 1.15 8.476
7586 3.43 0.86 7.693
7587 0.54 0.76 8.797
7588 1.1 0.68 6.613
7589 9.32 1.02 8.248
7590 4.65 1.22 9.667
7591 2.91 1.26 9.04
7592 3.64 0.89 6.637
7593 -1.98 1.34 8.978
7594 25.39 0.62 7.389
7595 2.13 1.75 8.552
7596 36.86 0.52 5.95
7597 2.68 0.9 8.636
7598 4.87 0.85 7.956
7599 5.88 0.92 7.635
7600 4.54 1.01 8.03
7601 3 1.16 8.774
7602 18.76 0.74 3.732
7603 2.33 1.43 9.289
7604 6.7 0.94 7.914
7605 5.66 0.78 7.095
7606 4.05 1.13 7.906
7607 12.46 0.99 8.241
7608 2.76 1.12 8.574
7609 12.9 0.79 8.488
7610 1.16 0.67 7.81
7611 4.98 0.83 7.691
7612 2.86 0.7 5.7
7613 19.78 2.95 NA
7614 1.95 3.5 9.143
7615 1.65 1.63 10.122
7616 4.35 1.19 9.547
7617 3.55 0.85 7.78
7618 4.63 0.7 8.265
7619 1.55 1.18 8.72
7620 5.26 0.74 6.712
7621 20.45 1.51 9.473
7622 8.18 2.35 9.717
7623 11.08 0.73 7.308
7624 3.39 0.96 8.218
7625 3.04 1.37 9.389
7626 1.3 1.07 8.564
7627 2.16 0.95 7.083
7628 4.26 1.38 10.837
7629 3.62 1.19 8.763
7630 NA NA NA
7631 26.3 1.66 8.723
7632 4.71 0.59 7.44
7633 2.7 1.52 9.778
7634 4.86 0.85 7.567
7635 1.91 1.17 8.748
7636 -0.38 1.72 9.981
7637 6.42 0.94 8.196
7638 10.1 0.68 6.054
7639 7.27 0.93 8.094
7640 1.33 0.99 8.523
7641 52.95 2.92 NA
7642 2.82 2.02 10.08
7643 2.03 2.7 10.604
7644 11.91 0.66 6.707
7645 7.3 0.7 5.385
7646 7.17 0.85 6.384
7647 3.61 1.92 10.731
7648 9.67 1.22 9.753
7649 8.76 1.48 9.766
7650 28.69 3.28 NA
7651 4.93 0.59 7.24
7652 -1.08 1.09 8.772
7653 3.5 0.88 6.813
7654 5.54 1.33 8.646
7655 3.06 1.51 9.96
7656 5.31 0.88 7.544
7657 2.7 1.84 9.721
7658 10.51 1.04 8.019
7659 10.45 1.02 8.424
7660 1.7 2.01 8.966
7661 2.97 1.59 9.68
7662 7.78 2.03 8.066
7663 1.65 1.01 7.595
7664 18.95 0.91 7.391
7665 20.4 3.32 8.675
7666 3.08 1.29 7.88
7667 8.05 1.02 8.5
7668 8.6 1.43 7.131
7669 4.06 1.12 9.207
7670 9.56 4.03 8.478
7671 9.67 1.46 9.311
7672 5.64 0.84 6.678
7673 3.34 1.06 8.771
7674 14.21 0.77 5.616
7675 2.33 0.91 7.618
7676 -2.8 1.93 10.63
7677 3.88 2.01 8.266
7678 3.94 1.14 8.633
7679 7.28 1.04 7.904
7680 4.27 1.86 8.331
7681 4.17 1.28 9.53
7682 25.82 1.56 9.467
7683 9.02 1.07 9.298
7684 5.9 1.04 8.201
7685 0.29 1.5 9.807
7686 1.4 1.26 9.559
7687 10.21 1.15 7.965
7688 7.97 1.03 8.992
7689 7.89 1.37 9.35
7690 0.71 1.31 9.256
7691 8.8 0.9 9.286
7692 1.57 0.84 7.009
7693 3.61 1.15 9.573
7694 20.37 0.61 7.134
7695 5.39 0.92 7.217
7696 11.64 3.52 NA
7697 6.19 0.72 7.305
7698 1.69 0.98 8.583
7699 5.34 1.97 9.034
7700 19.12 1.25 9.009
7701 8.76 0.97 8.302
7702 -0.52 1.24 9.292
7703 5 0.9 7.276
7704 3.7 1.35 6.852
7705 7.35 0.82 6.873
7706 8.34 1.04 7.461
7707 0.21 1.39 8.901
7708 4.56 0.85 7.419
7709 0.62 1.48 10.264
7710 5.68 1.44 9.815
7711 3.29 1.14 8.836
7712 4.76 1.51 8.314
7713 13.46 0.76 5.108
7714 7.6 1.04 7.672
7715 0.49 1.92 8.577
7716 6.86 0.71 6.684
7717 5.31 1.4 9.23
7718 2.99 1.23 8.727
7719 9.4 0.95 7.695
7720 3.45 2.46 10.196
7721 8.5 1.55 8.905
7722 9.67 1.14 8.676
7723 14.61 1.18 9.115
7724 3.42 1.03 8.036
7725 9.29 3.16 9.934
7726 7.63 1.34 9.473
7727 4.57 1.1 8.779
7728 29.41 0.91 7.816
7729 46.73 0.8 6.69
7730 4.96 1.63 9.219
7731 11.71 2.22 8.325
7732 1.32 1.32 9.21
7733 4.17 1.23 9.305
7734 1.99 8.29 8.877
7735 7.18 0.9 6.115
7736 11.48 0.96 8.233
7737 3.76 1.88 7.387
7738 24.92 1.52 10.011
7739 22.58 1.05 8.611
7740 0.53 0.75 7.447
7741 1.03 2.05 10.915
7742 10.66 1 8.214
7743 36.72 1.09 9.998
7744 5.58 0.89 7.504
7745 7.31 0.77 8.586
7746 122.75 1.41 5.951
7747 3.81 1.87 10.305
7748 2.79 0.77 7.625
7749 6.33 1.54 9.579
7750 0.09 0.96 8.062
7751 8.59 0.67 8.143
7752 1.4 0.96 7.456
7753 1.94 0.7 8.35
7754 21.16 0.96 7.9
7755 1.65 1.35 9.959
7756 3.77 1.66 10.216
7757 -4.16 26.3 8.841
7758 2.63 0.93 8.367
7759 13.82 1.11 8.91
7760 61.3 36.67 9.124
7761 15.79 1.51 10.253
7762 5.75 0.78 6.942
7763 2.74 1.42 9.536
7764 -0.49 1.45 9.445
7765 4.05 1.63 10.115
7766 0.09 1.61 9.108
7767 9.53 1.09 8.907
7768 8.76 1.89 7.563
7769 6.32 1.17 8.94
7770 7.15 0.77 6.795
7771 25.28 3.3 NA
7772 6.11 1.33 9.215
7773 2.8 0.77 7.259
7774 8.74 0.96 7.325
7775 0.49 1.76 10.365
7776 4.01 1.4 9.703
7777 5.02 1.66 9.96
7778 11.45 1.76 10.417
7779 1.71 1.29 9.285
7780 2.04 0.85 7.43
7781 5.29 0.78 6.547
7782 9.14 1.53 9.24
7783 5.3 1.16 8.513
7784 13.46 1.21 9.224
7785 3.69 0.98 8.139
7786 6.8 1 8.131
7787 4.02 0.96 8.022
7788 5.43 0.85 7.293
7789 29.91 1.8 10.305
7790 3.8 0.84 8.763
7791 4.21 1.77 9.994
7792 3.3 1.39 9.859
7793 3.07 1.04 8.817
7794 20.01 1.72 9.206
7795 4.04 0.99 9.023
7796 2.98 1.25 9.007
7797 7.72 1.17 8.817
7798 6.53 1.4 8.324
7799 4.16 1.74 9.875
7800 7.73 1.21 8.511
7801 15.02 0.69 7.656
7802 2.7 1.71 8.637
7803 14.41 1 8.148
7804 2.42 1.13 9.119
7805 3.19 1.18 8.709
7806 1.63 1.22 8.968
7807 3.15 0.78 6.955
7808 3.34 0.58 7.125
7809 11.66 0.73 8.573
7810 2.97 0.94 8.808
7811 -1.55 2.65 11.239
7812 24.1 2.54 NA
7813 4.79 0.74 4.95
7814 17.99 0.84 6.385
7815 2.37 1.08 7.586
7816 16.1 0.96 8.161
7817 28.29 0.94 7.984
7818 13.66 1.04 8.63
7819 16.33 2.02 NA
7820 12.15 0.87 5.664
7821 2.26 1.29 8.848
7822 7.62 1.21 9.48
7823 18.7 2.29 NA
7824 33.63 1.64 10.411
7825 24.18 1.26 8.998
7826 9.52 1.25 9.21
7827 2.6 0.93 6.868
7828 5.18 1.06 8.416
7829 3.16 1.4 9.261
7830 2.67 1.01 8.016
7831 7.79 1.16 8.667
7832 6.91 1.13 8.243
7833 0.04 1.77 9.251
7834 5.49 1 7.583
7835 17.25 1.26 9.025
7836 14.32 3.09 9.091
7837 6.55 1.16 8.416
7838 4.23 1.1 8.332
7839 11.84 1.57 10.048
7840 -0.19 1.51 8.306
7841 3.53 0.59 6.722
7842 2.87 1.32 9.759
7843 0.74 1.24 9.216
7844 12.54 1.1 8.789
7845 1.24 1.06 8.136
7846 1.8 1.14 9.178
7847 19.37 1.19 8.569
7848 6.35 0.98 7.769
7849 4.46 0.99 8.219
7850 13.73 1.02 7.467
7851 3.22 0.79 8.768
7852 1.99 1.22 9.211
7853 23.7 2.56 NA
7854 8.47 0.91 7.715
7855 23.73 0.93 8.161
7856 4.05 0.88 7.564
7857 7.17 1.05 8.418
7858 13.34 1.21 8.778
7859 5.54 1.56 8.63
7860 1.79 0.99 8.3
7861 2.75 0.81 7.308
7862 2.71 1.08 8.539
7863 -1.22 1.91 8.977
7864 14.01 0.74 8.39
7865 2.45 1.34 9.555
7866 6.62 1.3 8.76
7867 3.4 1.37 9.596
7868 2.02 0.66 8.135
7869 17.86 0.88 6.255
7870 16.75 1.37 9.161
7871 1.92 1.45 9.549
7872 0.47 1.31 10.293
7873 6.21 3.21 9.099
7874 8.26 0.63 6.449
7875 4.22 1.13 7.944
7876 8.98 10.8 NA
7877 2.33 1.23 8.792
7878 3.22 0.95 7.454
7879 8.86 0.77 4.594
7880 14.68 1.04 8.743
7881 23.87 0.65 6.233
7882 6.74 1.1 8.353
7883 6.12 0.83 8.848
7884 8.42 1.24 8.901
7885 1.28 0.91 8.91
7886 6.41 1.63 9.804
7887 9.12 1.97 10.169
7888 4.27 1 7.856
7889 -0.83 1.34 9.23
7890 12.38 1.24 9.373
7891 4.32 1.96 7.93
7892 2.08 2.12 10.356
7893 2.79 1.07 8.408
7894 4.78 0.96 8.503
7895 0.32 1.63 8.979
7896 3.4 1.11 8.655
7897 27.28 0.96 7.767
7898 9.73 1.16 8.501
7899 2.82 1.08 7.706
7900 3.28 1.34 9.241
7901 6.23 0.8 6.077
7902 4.84 1.2 8.182
7903 5.55 1.2 8.589
7904 -0.18 1.55 9.543
7905 15 1.38 9.289
7906 7.04 0.74 6.659
7907 0.04 2.02 NA
7908 1.62 1.45 9.779
7909 3.66 1.15 8.911
7910 0.56 1.36 9.464
7911 26.83 0.96 5.842
7912 10.95 1.52 9.033
7913 79.09 0.83 5.031
7914 9.78 1.03 7.935
7915 3.31 1.41 10.037
7916 8.79 0.53 5.841
7917 5.79 1.39 9.492
7918 5.7 0.89 8.276
7919 18.51 1.19 8.659
7920 4.46 0.96 8.403
7921 4.33 0.84 8.947
7922 1.44 1.32 9.078
7923 0.95 1.03 8.612
7924 14.66 1.4 8.936
7925 21.4 1.83 10.459
7926 4 0.79 8.792
7927 3.06 1.07 8.546
7928 4.02 0.98 8.037
7929 11.52 1.2 9.008
7930 12.55 1.11 8.937
7931 1.13 1.44 9.349
7932 8.2 1.03 7.774
7933 2.73 0.9 8.237
7934 3.28 0.79 6.682
7935 4.6 1.09 8.688
7936 10.71 0.71 5.706
7937 4.38 1.33 8.893
7938 12.61 0.68 5.624
7939 3.08 0.9 7.206
7940 3.61 0.89 8.08
7941 4.5 0.97 8.688
7942 8.18 1.78 10.289
7943 3.77 0.88 7.531
7944 21.08 0.68 7.593
7945 3.38 0.75 7.968
7946 1.7 0.96 7.898
7947 5.94 1.73 8.972
7948 4.22 1.03 8.413
7949 6.32 0.76 8.933
7950 15.02 0.72 5.371
7951 3.42 0.84 7.099
7952 7.97 1.02 7.538
7953 6.52 0.6 7.971
7954 11.66 1.41 9.103
7955 9.12 1.13 8.734
7956 20.45 0.99 7.518
7957 4.88 1.51 9.843
7958 2.24 0.74 6.35
7959 0.54 1.02 8.372
7960 7.34 0.61 5.555
7961 1.15 1.12 8.36
7962 7.33 1.51 9.108
7963 7.74 3.57 8.174
7964 2.28 0.78 7.157
7965 3.11 1.42 9.42
7966 10.44 1.28 7.981
7967 2.27 1.49 8.51
7968 7.59 0.7 8.035
7969 11.52 0.88 8.436
7970 5.24 0.91 7.693
7971 9.37 1.62 9.188
7972 1.86 0.8 8.932
7973 57.63 0.64 5.581
7974 0.48 1.48 8.562
7975 0.8 1.84 8.536
7976 133.91 0.91 NA
7977 3.07 1.1 8.195
7978 5.41 0.93 7.105
7979 2.64 1.2 9.262
7980 8.15 1.29 9.215
7981 3 0.92 7.336
7982 10.41 0.99 7.318
7983 4.3 0.82 7.681
7984 3.12 0.91 7.121
7985 22.59 0.82 8.469
7986 2.65 0.78 6.863
7987 10.68 0.76 7.987
7988 4.07 3.84 NA
7989 5.84 0.84 7.353
7990 4.31 1.48 9.409
7991 3.06 1.06 8.462
7992 0.43 1.36 9.11
7993 8.13 1.85 10.252
7994 2.71 0.9 5.145
7995 4.92 1.18 8.972
7996 3.58 0.94 8
7997 0.85 1.4 9.688
7998 3.45 1.18 9.191
7999 -1.32 1.83 9.626
8000 3.69 1.44 9.388
8001 2.05 1.12 9.835
8002 9.26 1.37 9.377
8003 7.42 0.85 7.994
8004 29.15 9.05 NA
8005 4.24 1.01 8.431
8006 5.75 1.22 9.121
8007 5.6 2.93 9.849
8008 1.06 1.4 9.62
8009 29.35 16.33 NA
8010 2.44 0.87 9.074
8011 11.62 0.54 5.175
8012 2.41 0.92 7.741
8013 14.95 0.68 7.299
8014 8.97 1.6 7.069
8015 3.19 0.71 6.327
8016 1.05 1.26 8.909
8017 2.97 1.11 7.841
8018 5.43 1.38 9.315
8019 5.78 1.93 8.86
8020 3.97 1.03 8.883
8021 -0.11 1.38 9.085
8022 1.24 1.28 9.288
8023 2.45 0.97 9.504
8024 1.59 0.84 9.029
8025 2.86 0.75 8.376
8026 3.53 2.88 NA
8027 2.51 1.07 8.282
8028 16.7 2.03 10.894
8029 0.24 0.88 7.028
8030 24.3 2.1 9.294
8031 -0.5 1.84 9.458
8032 3.51 1.69 10.304
8033 22.11 14.43 10.202
8034 2.84 1.45 9.625
8035 30.58 2.09 8.338
8036 6.07 1.06 8.627
8037 0.99 1.32 9.009
8038 48.11 2.01 NA
8039 18.04 0.79 6.437
8040 1.43 1.48 9.059
8041 3.57 0.71 5.776
8042 6.79 1.57 9.807
8043 3.05 3.42 10.358
8044 0.25 1.2 8.899
8045 9.45 1.41 8.86
8046 88.86 1.99 NA
8047 6.59 0.77 6.697
8048 3.7 1.33 8.39
8049 8.41 3.44 9.753
8050 15.11 2.17 NA
8051 6.1 0.74 8.09
8052 0.44 0.7 7.793
8053 1.88 1.11 9.56
8054 2.19 0.98 8.633
8055 14.55 1.15 8.488
8056 3.03 1.56 9.012
8057 1.42 1.11 9.602
8058 3.86 0.8 6.847
8059 2.99 0.98 7.71
8060 9.57 1.08 9.352
8061 2.39 0.84 6.822
8062 20.23 6.05 10.585
8063 4.55 0.75 4.02
8064 33.68 26 NA
8065 74.45 1.11 8.556
8066 4.17 1.16 8.885
8067 5.59 5.75 9.387
8068 11.23 1.37 9.881
8069 0.39 1.45 9.657
8070 7.3 1.86 10.074
8071 2.77 1.64 10.188
8072 5.38 2.46 10.872
8073 21.2 3.47 8.617
8074 4.18 0.89 8.122
8075 6.91 1.18 8.013
8076 5.88 0.8 6.982
8077 6.61 0.59 6.688
8078 4.06 3.25 11.9
8079 7.1 1.19 9.221
8080 3.09 1.2 8.956
8081 7.08 0.8 6.41
8082 8.23 0.88 9.259
8083 3.85 1.44 10.012
8084 3.58 1.1 8.218
8085 2.74 1.05 8.404
8086 4.95 1.11 8.778
8087 3.77 0.94 7.715
8088 1.73 0.83 7.416
8089 4.55 0.9 6.371
8090 1.44 1.17 8.722
8091 9.12 1 8.519
8092 2.87 1.11 8.64
8093 3.84 1.41 8.914
8094 10.9 1.12 8.783
8095 1.87 1.26 8.377
8096 3.41 1.7 9.84
8097 274.17 0.8 NA
8098 4.5 0.92 8.032
8099 0.15 1.86 9.476
8100 2.74 1 7.943
8101 1.61 0.9 7.451
8102 4.06 1.65 9.428
8103 3.98 0.78 7.004
8104 22.38 0.87 7.339
8105 4.01 1.07 8.816
8106 14.27 2.02 8
8107 5.28 0.92 8.821
8108 3.26 1.27 8.688
8109 3.72 1.28 9.243
8110 12.63 0.77 6.227
8111 8.49 1.13 8.546
8112 2.23 1.04 8.869
8113 1.66 1.06 8.283
8114 14.23 0.94 9.828
8115 2.46 1.14 9.394
8116 17.29 1.09 8.188
8117 13.95 0.75 6.753
8118 2.91 0.79 7.184
8119 7.5 1.2 8.855
8120 0.63 2.17 10.762
8121 4.24 0.97 8.741
8122 6.04 0.75 6.475
8123 21.09 1.17 8.812
8124 1.73 5.45 10.36
8125 11.33 1.44 10.398
8126 7.75 1.58 7.996
8127 5.61 0.58 6.778
8128 3.05 1.03 8.179
8129 1.95 0.92 6.901
8130 3.9 0.79 6.96
8131 2.51 1.27 8.927
8132 2.49 1.78 10.328
8133 7.29 0.82 7.324
8134 6.32 0.83 7.815
8135 4.54 1.23 8.494
8136 2.65 0.94 8.762
8137 4.98 1.2 8.683
8138 6.09 0.94 6.485
8139 5.49 1.03 8.119
8140 8.67 0.63 7.298
8141 8.32 1.68 9.738
8142 7.25 1.01 8.558
8143 5.82 0.68 6.246
8144 5.72 2.06 8.969
8145 1.91 1.37 10.161
8146 11.95 0.97 7.862
8147 7.88 1.69 10.212
8148 4.04 1 7.504
8149 0.66 1.37 10.369
8150 5.44 0.84 9.053
8151 5.57 1.15 8.463
8152 0.88 1.14 8.579
8153 2.12 1.14 8.529
8154 30.71 0.81 6.362
8155 5.66 0.94 7.145
8156 16.65 1.37 9.844
8157 10.29 1.4 9.665
8158 5.56 2.07 11.624
8159 5.32 0.65 7.151
8160 4.55 1.3 8.859
8161 12.63 3.55 9.506
8162 4.83 1.87 9.922
8163 9.2 0.84 7.681
8164 4.03 2.05 7.838
